"H3"||"H"||3||38|||152|||||0|0|0|0|0|0|100|100|100|100|100|100|95|97.5|100|85|87.5|90||9.3|||0|||0|||0.2|||2.6|||6.5|||66.7||||||||18|24|30||||0.1|0.55|1||||1.6|1.63|1.65|||||1.7|||0.42|0.91|1.4|0.09|0.11|0.12|||||30.7|||16.5|||36||0|1.5|2.9|25|27.5|30|0|2.5|5|0|1|4|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|5|7.5|10|||||||5.1|5.8|6.5|||||||||||||||||||||||||||||||||"61709:75324"|"61709:2311956"
"H1"||"H"||1||0|||18|||||0|0|0|0|0|0|100|100|100|95|97.5|100|90|95|100|80|85|90||11.2|||0.1|||0.4|||0.9|||3.3|||6.5|||66.8||||||||20|22|24||||4|5|6||||1.15|1.2|1.25|||||1.26|||4|9|14|0.21|0.23|0.25|||||30.1|||15.8|||48||0|1.5|2.9|25|27.5|30|0|2.5|5|0|1|4|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|15|17.5|20|||||||5.1|5.6|6|||||||||||||||||||||||||||||||||"61710:75329"|"61710:2311963"
"H2"||"H"||2||18|||38|||||0|0|0|0|0|0|100|100|100|95|97.5|100|90|95|100|85|87.5|90||9.5|||0|||0|||0.2|||2.6|||6.7|||67.5||||||||18|23|27||||1|2.5|4||||1.1|1.23|1.35|||||1.29|||4|9|14|0.19|0.21|0.23|||||28.8|||13.9|||48||0|1.5|2.9|25|27.5|30|0|2.5|5|0|1|4|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|10|12.5|15|||||||5.1|5.6|6|||||||||||||||||||||||||||||||||"61710:75329"|"61710:2311964"
"H3"||"H"||3||38|||152|||||0|0|0|0|0|0|100|100|100|100|100|100|95|97.5|100|85|87.5|90||9.3|||0|||0|||0.2|||2.6|||6.5|||66.7||||||||18|24|30||||0.1|0.55|1||||1.6|1.63|1.65|||||1.7|||0.42|0.91|1.4|0.09|0.11|0.12|||||30.7|||16.5|||36||0|1.5|2.9|25|27.5|30|0|2.5|5|0|1|4|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|5|7.5|10|||||||5.1|5.8|6.5|||||||||||||||||||||||||||||||||"61710:75329"|"61710:2311965"
"H1"||"H"||1||0|||46|||||0|0|0|0|0|0|100|100|100|100|100|100|85|87.5|90|60|67.5|75||39.8|||3.5|||5|||6.9|||12.5|||11.9|||37.7||||||||18|22.5|27||||1|1.5|2||||1.1|1.15|1.2|||||1.2|||4|9|14|0.16|0.17|0.18|||||27.4|||11.9|||53||0|1.5|2.9|30|32.5|35|5|7.5|10|1|3|7|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|10|12.5|15|||||||5.6|5.8|6|||||||||||||||||||||||||||||||||"61711:75333"|"61711:157599"
"H2"||"H"||2||46|||96|||||0|0|0|0|0|0|100|100|100|100|100|100|90|95|100|70|80|95||33.5|||3|||4.2|||5.8|||10.5|||10|||36.5||||||||25|30|35||||0.5|0.75|1||||1.2|1.3|1.4|||||1.36|||1.4|3|4|0.19|0.2|0.21|||||30.7|||16.5|||48||0|1.5|2.9|35|37.5|40|10|12.5|15|6|10|16|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|15|17.5|20|||||||5.6|5.8|6|||||||||||||||||||||||||||||||||"61711:75333"|"61711:157600"
"H3"||"H"||3||96|||152|||||0|0|0|0|0|0|100|100|100|100|100|100|85|90|95|60|67.5|75||44.3|||4.3|||5.9|||7.9|||13.7|||12.5|||40.7||||||||12|15|18||||0|0.25|0.5||||1.2|1.3|1.4|||||1.36|||1.4|3|4|0.1|0.11|0.12|||||23.9|||8.1|||48||0|1.5|2.9|20|25|30|0|2.5|5|0|0|3|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|5|7.5|10|||||||5.6|5.8|6|||||||||||||||||||||||||||||||||"61711:75333"|"61711:157601"
"H1"||"H"||1||0|||46|||||0|0|0|0|0|0|100|100|100|100|100|100|85|87.5|90|60|67.5|75||39.8|||3.5|||5|||6.9|||12.5|||11.9|||37.7||||||||18|22.5|27||||1|1.5|2||||1.1|1.15|1.2|||||1.2|||4|9|14|0.16|0.17|0.18|||||27.4|||11.9|||53||0|1.5|2.9|30|32.5|35|5|7.5|10|1|3|7|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|10|12.5|15|||||||5.6|5.8|6|||||||||||||||||||||||||||||||||"61712:75337"|"61712:2311978"
"H2"||"H"||2||46|||96|||||0|0|0|0|0|0|100|100|100|100|100|100|90|95|100|70|80|95||33.5|||3|||4.2|||5.8|||10.5|||10|||36.5||||||||25|30|35||||0.5|0.75|1||||1.2|1.3|1.4|||||1.36|||1.4|3|4|0.19|0.2|0.21|||||30.7|||16.5|||48||0|1.5|2.9|35|37.5|40|10|12.5|15|6|10|16|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|15|17.5|20|||||||5.6|5.8|6|||||||||||||||||||||||||||||||||"61712:75337"|"61712:2311979"
"H3"||"H"||3||96|||152|||||0|0|0|0|0|0|100|100|100|100|100|100|85|90|95|60|67.5|75||44.3|||4.3|||5.9|||7.9|||13.7|||12.5|||40.7||||||||12|15|18||||0|0.25|0.5||||1.2|1.3|1.4|||||1.36|||1.4|3|4|0.1|0.11|0.12|||||23.9|||8.1|||48||0|1.5|2.9|20|25|30|0|2.5|5|0|0|3|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|5|7.5|10|||||||5.6|5.8|6|||||||||||||||||||||||||||||||||"61712:75337"|"61712:2311980"
