2293|"10782"|"61618"|"111977"
1727|"10782"|"61619"|"111978"
1526|"10782"|"61620"|"111979"
2220|"10782"|"61621"|"111980"
2293|"10783"|"61618"|"112134"
1410|"10783"|"61604"|"112122"
866|"10782"|"61733"|"112081"
866|"10784"|"61733"|"112264"
2231|"10782"|"61734"|"112082"
2231|"10784"|"61734"|"112265"
698|"10782"|"61735"|"112083"
698|"10783"|"61735"|"112211"
387|"10782"|"61736"|"112084"
387|"10783"|"61736"|"112212"
4994|"10782"|"61737"|"112085"
4994|"10783"|"61737"|"112213"
16516|"10782"|"61738"|"112086"
16516|"10784"|"61738"|"112266"
1257|"10782"|"61739"|"112087"
1257|"10783"|"61739"|"112214"
752|"10782"|"61740"|"112088"
752|"10783"|"61740"|"112215"
310|"10782"|"61741"|"112089"
310|"10783"|"61741"|"112216"
1311|"10782"|"61742"|"112090"
1311|"10783"|"61742"|"112217"
1479|"10782"|"61743"|"112091"
1479|"10783"|"61743"|"112218"
1172|"10782"|"61744"|"112092"
1172|"10783"|"61744"|"112219"
1435|"10782"|"61745"|"112093"
1435|"10783"|"61745"|"112220"
16779|"10782"|"61746"|"111952"
16779|"10783"|"61746"|"112113"
2808|"10782"|"61747"|"111953"
2808|"10783"|"61747"|"112114"
1023|"10782"|"61748"|"111954"
1023|"10783"|"61748"|"112115"
860|"10782"|"61606"|"111967"
860|"10783"|"61606"|"112124"
287|"10782"|"61607"|"111968"
287|"10783"|"61607"|"112125"
13087|"10782"|"61608"|"111969"
13087|"10783"|"61608"|"112126"
5534|"10782"|"61609"|"111970"
5534|"10783"|"61609"|"112127"
1917|"10782"|"61610"|"111971"
1917|"10783"|"61610"|"112128"
2274|"10782"|"61611"|"111972"
2274|"10783"|"61611"|"112129"
2793|"10782"|"61612"|"111973"
2793|"10783"|"61612"|"112130"
334|"10782"|"61613"|"111974"
334|"10783"|"61613"|"112131"
1356|"10782"|"61731"|"112079"
1356|"10783"|"61731"|"112209"
1871|"10782"|"61732"|"112080"
1871|"10783"|"61732"|"112210"
7310|"10782"|"61719"|"112068"
7310|"10783"|"61719"|"112198"
3000|"10782"|"61722"|"112071"
3000|"10783"|"61722"|"112201"
2734|"10782"|"61704"|"112054"
2734|"10783"|"61704"|"112186"
2377|"10782"|"61705"|"112055"
2377|"10783"|"61705"|"112187"
760|"10782"|"61706"|"112056"
760|"10783"|"61706"|"112188"
11136|"10782"|"61707"|"111950"
11136|"10784"|"61707"|"112232"
4633|"10782"|"61708"|"112057"
4633|"10783"|"61708"|"112189"
1455|"10782"|"61709"|"112058"
1455|"10783"|"61709"|"112190"
427|"10782"|"61710"|"112059"
427|"10783"|"61710"|"112191"
1109|"10782"|"61711"|"112060"
1109|"10783"|"61711"|"112192"
1301|"10782"|"61712"|"112061"
1301|"10783"|"61712"|"112193"
490|"10782"|"61713"|"112062"
490|"10783"|"61713"|"112194"
3309|"10782"|"61714"|"112063"
3309|"10783"|"61714"|"112195"
589|"10782"|"61715"|"112064"
589|"10783"|"61715"|"112196"
1071|"10782"|"61716"|"112065"
1071|"10783"|"61716"|"112197"
1094|"10782"|"61597"|"111958"
1410|"10782"|"61604"|"111965"
1781|"10782"|"61598"|"111959"
1781|"10783"|"61598"|"112116"
2275|"10782"|"61599"|"111960"
2275|"10783"|"61599"|"112117"
523|"10782"|"61600"|"111961"
523|"10783"|"61600"|"112118"
3823|"10782"|"61601"|"111962"
3823|"10783"|"61601"|"112119"
6053|"10782"|"61602"|"111963"
6053|"10783"|"61602"|"112120"
3779|"10782"|"61603"|"111964"
3779|"10783"|"61603"|"112121"
2508|"10782"|"61721"|"112070"
2508|"10783"|"61721"|"112200"
8113|"10782"|"61639"|"111993"
8113|"10784"|"61639"|"112240"
10439|"10782"|"61640"|"111994"
10439|"10784"|"61640"|"112241"
10511|"10782"|"61641"|"111995"
10511|"10784"|"61641"|"112242"
1077|"10782"|"61642"|"111996"
1077|"10783"|"61642"|"112147"
259|"10782"|"61643"|"111997"
259|"10783"|"61643"|"112148"
2698|"10782"|"61644"|"111998"
2698|"10783"|"61644"|"112149"
6161|"10782"|"61645"|"111999"
6161|"10783"|"61645"|"112150"
755|"10782"|"61646"|"112000"
755|"10783"|"61646"|"112151"
1611|"10782"|"61647"|"112001"
1611|"10783"|"61647"|"112152"
1617|"10782"|"61648"|"112002"
1617|"10783"|"61648"|"112153"
13777|"10782"|"61649"|"112003"
13777|"10784"|"61649"|"112243"
9990|"10782"|"61650"|"112004"
9990|"10784"|"61650"|"112244"
11626|"10782"|"61651"|"112005"
11626|"10784"|"61651"|"112245"
1956|"10782"|"61652"|"112006"
1956|"10783"|"61652"|"112154"
967|"10782"|"61653"|"112007"
967|"10783"|"61653"|"112155"
516|"10782"|"61654"|"112008"
516|"10783"|"61654"|"112156"
743|"10782"|"61655"|"112009"
743|"10784"|"61655"|"112246"
29890|"10782"|"61656"|"112010"
29890|"10783"|"61656"|"112157"
12309|"10782"|"61657"|"112011"
12309|"10783"|"61657"|"112158"
5950|"10782"|"61658"|"112012"
5950|"10783"|"61658"|"112159"
483|"10782"|"61659"|"112013"
483|"10783"|"61659"|"112160"
2011|"10782"|"61660"|"112014"
2011|"10783"|"61660"|"112161"
1705|"10782"|"61661"|"112015"
1705|"10783"|"61661"|"112162"
819|"10782"|"61662"|"112016"
819|"10783"|"61662"|"112163"
11815|"10782"|"61663"|"112017"
11815|"10784"|"61663"|"112247"
2022|"10782"|"61664"|"112018"
2022|"10784"|"61664"|"112248"
577|"10782"|"61665"|"112019"
577|"10783"|"61665"|"112164"
1077|"10782"|"61666"|"112020"
1077|"10783"|"61666"|"112165"
610|"10782"|"61667"|"112021"
610|"10783"|"61667"|"112166"
4845|"10782"|"61668"|"112022"
4845|"10784"|"61668"|"112249"
9152|"10782"|"61669"|"112023"
9152|"10784"|"61669"|"112250"
387|"10782"|"61670"|"112024"
387|"10784"|"61670"|"112251"
1248|"10782"|"61671"|"111946"
